id,name,group,habitat,mass.g,mass.reference
185,Abatus_curvidens,Echinodermata,Benthic,1.40000000000000,Jacob_etal_2011
392,Primnoisis_antarctica,Cnidaria,Benthic,1.50000000000000,Jacob_etal_2011
87,Oithona_sp,Crustacea,Benthopelagic,1.54000000000000,Mayzaud_etal2002
215,Astrochlamys_bruneus,Echinodermata,Benthic,1.60000000000000,Jacob_etal_2011
20,Cumacea,Crustacea,Benthopelagic,1.75000000000000,Jacob_etal_2011
62,Epimeria_robusta,Crustacea,Benthopelagic,1.90000000000000,Jacob_etal_2011
191,Abyssorchomene_rossi,Crustacea,Benthopelagic,1.90000000000000,Jacob_etal_2011
264,Echiniphimedia_hodgsoni,Crustacea,Benthopelagic,1.90000000000000,Jacob_etal_2011
271,Epimeria_georgiana,Crustacea,Benthopelagic,1.90000000000000,Jacob_etal_2011
155,Ophionotus_victoriae,Echinodermata,Benthic,1.90000000000000,Jacob_etal_2011
187,Abatus_shackeltoni,Echinodermata,Benthic,1.90000000000000,Jacob_etal_2011
362,Ophioperla_koehleri,Echinodermata,Benthic,1.90000000000000,Jacob_etal_2011
262,Diplulmaris_antarctica,Cnidaria,Benthic,2.20000000000000,Jacob_etal_2011
406,Reteporella_hippocrepis,Bryozoa,Benthic,2.30000000000000,Jacob_etal_2011
71,Urticinopsis_antarctica,Cnidaria,Benthic,2.30000000000000,Jacob_etal_2011
269,Ekmocucumis_steineni,Echinodermata,Benthic,2.30000000000000,Jacob_etal_2011
270,Ekmocucumis_turqueti,Echinodermata,Benthic,2.30000000000000,Jacob_etal_2011
337,Molpadia_musculus,Echinodermata,Benthic,2.30000000000000,Jacob_etal_2011
13,Homaxinella_balfourensis,Porifera,Benthic,2.30000000000000,Jacob_etal_2011
115,Calyx_arcuarius,Porifera,Benthic,2.30000000000000,Jacob_etal_2011
303,Iophon_radiatus,Porifera,Benthic,2.30000000000000,Jacob_etal_2011
173,Oncaea_curvata,Crustacea,Benthopelagic,2.50000000000000,Mayzaud_etal2002
184,Abatus_cavernosus ,Echinodermata,Benthic,2.70000000000000,Jacob_etal_2011
208,Aporocidaris_milleri,Echinodermata,Benthic,2.70000000000000,Jacob_etal_2011
292,Gorgonocephalus_chilensis,Echinodermata,Benthic,2.70000000000000,Jacob_etal_2011
338,Monocaulus_parvula,Cnidaria,Benthic,2.80000000000000,Jacob_etal_2011
181,Diplasterias_brucei,Echinodermata,Benthic,2.80000000000000,Jacob_etal_2011
142,Sterechinus_neumayeri,Echinodermata,Benthic,2.90000000000000,Jacob_etal_2011
154,Ophiocten_sp,Echinodermata,Benthic,3.00000000000000,Ravelo_etal_2017
253,Ctenocidaris_spinosa,Echinodermata,Benthic,3.10000000000000,Jacob_etal_2011
45,Notolepis_coatsi,Fish,Pelagic,3.10000000000000,Jacob_etal_2011
4,Holothuria_sp,Echinodermata,Benthic,3.16000000000000,Gutt_etal_1991
373,Pareledone_charcoti,Cephalopoda,Pelagic,3.30000000000000,Jacob_etal_2011
415,Solmundella_bitentaculata,Cnidaria,Benthic,3.30000000000000,Jacob_etal_2011
193,Acodontaster_conspicuus,Echinodermata,Benthic,3.30000000000000,Jacob_etal_2011
225,Bathydoris_clavigera,Gastropoda,Benthic,3.40000000000000,Jacob_etal_2011
263,Doris_kerguelenensis,Gastropoda,Benthic,3.40000000000000,Jacob_etal_2011
347,Notocidaris_mortenseni,Echinodermata,Benthic,3.50000000000000,Jacob_etal_2011
226,Bathypanoploea_schellenbergi,Crustacea,Benthopelagic,3.70000000000000,Jacob_etal_2011
273,Epimeria_similis,Crustacea,Benthopelagic,3.70000000000000,Jacob_etal_2011
286,Gnathiphimedia_mandibularis,Crustacea,Benthopelagic,3.70000000000000,Jacob_etal_2011
186,Abatus_nimrodi,Echinodermata,Benthic,3.70000000000000,Jacob_etal_2011
245,Colossendeis_sp,Miscellaneous,Benthic,3.70000000000000,Jacob_etal_2011
320,Lysasterias_perrieri,Echinodermata,Benthic,3.90000000000000,Jacob_etal_2011
93,Barrukia_cristata,Polychaeta,Benthic,3.90000000000000,Jacob_etal_2011
420,Synoicum_adareanum,Ascidiacea,Benthic,4.10000000000000,Jacob_etal_2011
216,Astrotoma_agassizii,Echinodermata,Benthic,4.20000000000000,Jacob_etal_2011
63,Eunoe_spica,Polychaeta,Benthic,4.20000000000000,Jacob_etal_2011
30,Bryozoa,Bryozoa,Benthic,4.62000000000000,Jacob_etal_2011
276,Eucopia_australis,Crustacea,Benthopelagic,4.70000000000000,Jacob_etal_2011
95,Eucranta_mollis,Polychaeta,Benthic,4.70000000000000,Jacob_etal_2011
227,Bathyplotes_bongraini,Echinodermata,Benthic,4.80000000000000,Jacob_etal_2011
228,Bathyplotes_gourdoni,Echinodermata,Benthic,4.80000000000000,Jacob_etal_2011
317,Lophaster_gaini,Echinodermata,Benthic,5.30000000000000,Jacob_etal_2011
9,Euphausia_superba,Euphausia,Pelagic,5.50000000000000,Jacob_etal_2011
207,Aplidium_vastum ,Ascidiacea,Benthic,5.60000000000000,Jacob_etal_2011
247,Corella_eumyota,Ascidiacea,Benthic,5.60000000000000,Jacob_etal_2011
343,Nematoflustra_flagellata,Bryozoa,Benthic,5.60000000000000,Jacob_etal_2011
46,Protomyctophum_bolini,Fish,Pelagic,5.60000000000000,Jacob_etal_2011
234,Callianira_antarctica,Miscellaneous,Pelagic,5.60000000000000,Jacob_etal_2011
333,Mertensiidae,Miscellaneous,Pelagic,5.60000000000000,"Callianira_antarctica, Jacob_etal_2011"
12,Haliclona_dancoi,Porifera,Benthic,5.60000000000000,Jacob_etal_2011
116,Haliclona_tenella,Porifera,Benthic,5.60000000000000,Jacob_etal_2011
117,Isodyctia_setifera,Porifera,Benthic,5.60000000000000,Jacob_etal_2011
376,Pemmatoporella_sp,Bryozoa,Benthic,5.74000000000000,Jacob_etal_2011
239,Cellarinella_sp,Bryozoa,Benthic,5.74250000000000,Jacob_etal_2011
296,Harmothoe_crosetensis,Polychaeta,Benthic,5.80000000000000,Jacob_etal_2011
78,Echinoidea,Echinodermata,Benthic,6.02230769230769,Jacob_etal_2011
297,Harmothoe_spinosa,Polychaeta,Benthic,6.10000000000000,Jacob_etal_2011
357,Oediceroides_emarginatus,Crustacea,Benthopelagic,6.40000000000000,Jacob_etal_2011
369,Paraceradocus_gibber,Crustacea,Benthopelagic,6.40000000000000,Jacob_etal_2011
219,Axociella_nidificata,Porifera,Benthic,6.50000000000000,Jacob_etal_2011
170,Ascidiacea,Ascidiacea,Benthic,6.99833333333333,Jacob_etal_2011
278,Eunoe_spica_spicoides,Polychaeta,Benthic,7.10000000000000,Jacob_etal_2011
156,Ophiosparte_gigas,Echinodermata,Benthic,7.50000000000000,Jacob_etal_2011
224,Bathybiaster_loripes,Echinodermata,Benthic,7.90000000000000,Jacob_etal_2011
416,Sterechinus_antarcticus,Echinodermata,Benthic,8.50000000000000,Jacob_etal_2011
84,Asteroidea,Echinodermata,Benthic,9.03205555555556,Jacob_etal_2011
182,Perknaster_fuscus,Echinodermata,Benthic,9.80000000000000,Jacob_etal_2011
379,Perknaster_fuscus_antarcticus,Echinodermata,Benthic,9.80000000000000,Jacob_etal_2011
272,Epimeria_rubrieques,Crustacea,Benthopelagic,10.00000000000000,Jacob_etal_2011
88,Oncaea_sp,Crustacea,Benthopelagic,10.00000000000000,"Oncaea_antarctica, from Mayzaud_etal_2002"
336,Molgula_pedunculata,Ascidiacea,Benthic,11.00000000000000,Jacob_etal_2011
210,Arcturidae,Crustacea,Benthopelagic,11.52400000000000,Jacob_etal_2011
15,Mycale_acerata,Porifera,Benthic,12.00000000000000,Jacob_etal_2011
409,Rossella_antarctica,Porifera,Benthic,12.00000000000000,Jacob_etal_2011
204,Antarctomysis_maxima,Crustacea,Benthopelagic,13.00000000000000,Jacob_etal_2011
22,Mysida,Crustacea,Benthopelagic,13.00000000000000,"Antarctomysis_maxima, from Jacob_etal_2011"
180,Dolloidraco_longedorsalis,Fish,Demersal,13.00000000000000,Jacob_etal_2011
143,Cnemidocarpa_verrucosa,Ascidiacea,Benthic,15.00000000000000,Jacob_etal_2011
174,Ceratoserolis_meridionalis,Crustacea,Benthopelagic,15.00000000000000,Jacob_etal_2011
281,Frontoserolis_bouvieri,Crustacea,Benthopelagic,15.00000000000000,Jacob_etal_2011
252,Ctenocidaris_perrieri,Echinodermata,Benthic,15.00000000000000,Jacob_etal_2011
323,Macroptychaster_accrescens,Echinodermata,Benthic,15.00000000000000,Jacob_etal_2011
397,Psilaster_charcoti,Echinodermata,Benthic,15.00000000000000,Jacob_etal_2011
388,Polyeunoa_laevis,Polychaeta,Benthic,15.00000000000000,Jacob_etal_2011
250,Ctenocidaris_gigantea,Echinodermata,Benthic,16.00000000000000,Jacob_etal_2011
251,Ctenocidaris_gilberti,Echinodermata,Benthic,16.00000000000000,Jacob_etal_2011
5,Octopoda,Cephalopoda,Pelagic,16.15000000000000,Jacob_etal_2011
254,Cuenotaster_involutus,Echinodermata,Benthic,17.00000000000000,Jacob_etal_2011
211,Artedidraco_loennbergi,Fish,Demersal,17.00000000000000,Jacob_etal_2011
280,Eusirus_perdentatus,Crustacea,Benthopelagic,19.00000000000000,Jacob_etal_2011
42,Gymnoscopelus_braueri,Fish,Pelagic,25.00000000000000,Jacob_etal_2011
53,Myctophidae,Fish,Pelagic,26.40000000000000,Jacob_etal_2011
110,Bathylagus_antarcticus,Fish,Pelagic,27.00000000000000,Jacob_etal_2011
